No Of Ratios, Avg Ratio, TTC
10,13695, 1.00753, 13.276
11,11325, 1.00735, 13.6047
12,17020, 1.00888, 11.2588
13,14365, 1.00891, 11.221
14,15400, 1.00862, 11.6022
15,16836, 1.00857, 11.6642
16,14364, 1.00956, 10.4611
17,20909, 1.01207, 8.28566
18,20706, 1.00996, 10.043
Detector,ORB,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,1081, 1.00727, 13.7589
2,1225, 1.00114, 87.5199
3,1953, 1.00483, 20.7153
4,1653, 1.00404, 24.7265
5,1325, 1, -inf
6,2144, 1.00541, 18.4947
7,2346, 1, -inf
8,1891, 1.00478, 20.9046
9,1653, 1, -inf
10,1711, 1, -inf
11,1176, 1.01197, 8.35181
12,1378, 1, -inf
13,1431, 1.0107, 9.34426
14,1653, 1.00994, 10.0575
15,1080, 1.00796, 12.5669
16,1890, 1.00886, 11.2863
17,1710, 1.00802, 12.4705
18,1829, 1.0039, 25.6678
Detector,ORB,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,1275, 1.00673, 14.8587
2,1431, 1.00555, 18.0032
3,2415, 1.00372, 26.8547
4,1830, 1.0033, 30.3189
5,1710, 1.00274, 36.4385
6,2700, 1.00263, 37.9679
7,3003, 1.00097, 102.828
8,2555, 1.00342, 29.2155
9,2346, 1.00139, 71.8298
10,2145, 1.00714, 13.9967
11,1378, 1.00908, 11.0165
12,1953, 1.00428, 23.3588
13,1653, 1.00855, 11.6981
14,2346, 1.01184, 8.44831
15,1539, 1.00888, 11.2662
16,2414, 1.00855, 11.6899
17,2555, 1.00627, 15.9547
18,1769, 1.00819, 12.215
Detector,ORB,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,1225, 1.00559, 17.9039
2,1326, 1.00689, 14.5115
3,1891, 1.00758, 13.1875
4,1378, 1.00554, 18.0584
5,1224, 1.00153, 65.1767
6,2144, 1.00474, 21.0798
7,2016, 1, -inf
8,2210, 1.00858, 11.6585
9,1770, 1, -inf
10,1326, 1.00244, 40.9249
11,1326, 1.0112, 8.92968
12,1540, 1, -inf
13,1596, 1.01056, 9.47182
14,2145, 1.00734, 13.6263
15,1274, 1.00779, 12.8428
16,1952, 1.01053, 9.49931
17,2079, 1.00696, 14.3683
18,1539, 1.00351, 28.4678
Detector,AKAZE,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,4950, 1.00797, 12.5511
2,5778, 1.00716, 13.9619
3,7021, 1.00747, 13.3958
4,6328, 1.00679, 14.7346
5,5460, 1.00715, 13.9866
6,5356, 1.00629, 15.8859
7,7381, 1.00631, 15.8603
8,7503, 1.00708, 14.1306
9,7140, 1.00697, 14.3541
10,8001, 1.00817, 12.2401
11,6555, 1.0082, 12.1985
12,8385, 1.00879, 11.376
13,7260, 1.00962, 10.3932
14,6670, 1.0095, 10.5217
15,7021, 1.01011, 9.89529
16,7140, 1.00985, 10.1517
17,7021, 1.01086, 9.20525
18,6555, 1.01125, 8.88728
Detector,AKAZE,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,5886, 1.00735, 13.6127
2,7021, 1.00663, 15.0817
3,8128, 1.0075, 13.339
4,7260, 1.0066, 15.1626
5,7260, 1.00655, 15.2563
6,7260, 1.0068, 14.6958
7,9045, 1.00632, 15.8215
8,9316, 1.00689, 14.5216
9,8256, 1.00689, 14.5058
10,9453, 1.00804, 12.4455
11,9591, 1.00766, 13.0628
12,9453, 1.00806, 12.4008
13,8515, 1.00971, 10.2994
14,8515, 1.0096, 10.4163
15,8646, 1.01039, 9.62921
16,9316, 1.00981, 10.1984
17,8778, 1.01096, 9.12824
18,8256, 1.01107, 9.03273
Detector,AKAZE,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,5671, 1.00771, 12.9715
2,6216, 1.007, 14.2868
3,7626, 1.0075, 13.3337
4,6328, 1.00682, 14.6533
5,5778, 1.00648, 15.4264
6,5995, 1.0065, 15.3728
7,8128, 1.00626, 15.9674
8,7750, 1.00714, 14.0111
9,7503, 1.00679, 14.7223
10,9045, 1.00848, 11.7867
11,6903, 1.00828, 12.0804
12,8001, 1.00836, 11.9618
13,7626, 1.00934, 10.712
14,7750, 1.0094, 10.6433
15,7381, 1.00986, 10.1371
16,8001, 1.00966, 10.3507
17,7503, 1.01105, 9.05157
18,7021, 1.01119, 8.93563
Detector,AKAZE,Descriptor,AKAZE
Frame #, No Of Ratios, Avg Ratio, TTC
1,5565, 1.00788, 12.698
2,5995, 1.00683, 14.6497
3,7381, 1.00767, 13.0437
4,6441, 1.00649, 15.4148
5,5778, 1.00628, 15.9257
6,5995, 1.00696, 14.3764
7,8385, 1.00649, 15.4148
8,8256, 1.00701, 14.2731
9,7626, 1.00685, 14.6063
10,8778, 1.00818, 12.2191
11,7140, 1.00811, 12.327
12,8001, 1.00859, 11.6456
13,7626, 1.00933, 10.7227
14,7875, 1.00949, 10.5414
15,7021, 1.00959, 10.4232
16,8256, 1.00984, 10.1664
17,7260, 1.01103, 9.06587
18,7503, 1.01108, 9.02543
Detector,SIFT,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,4259, 1.00806, 12.3996
2,3642, 1.00804, 12.4339
3,5756, 1.0077, 12.9928
4,4831, 1.00568, 17.5971
5,4355, 1.00709, 14.096
6,4839, 1.00841, 11.8843
7,6423, 1.00733, 13.639
8,6428, 1.00766, 13.0597
9,6419, 1.00753, 13.2768
10,4352, 1.00981, 10.1928
11,4170, 1.00922, 10.8403
12,4931, 1.00965, 10.3637
13,5130, 1.0116, 8.62306
14,5024, 1.01132, 8.8371
15,4737, 1.0115, 8.69539
16,5230, 1.01185, 8.43563
17,3388, 1.01219, 8.20672
18,4254, 1.01235, 8.09606
Detector,SIFT,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,5651, 1.00826, 12.1044
2,6421, 1.00808, 12.3691
3,8106, 1.00712, 14.0417
4,7234, 1.00587, 17.0283
5,6536, 1.00681, 14.6809
6,7005, 1.00799, 12.5105
7,9569, 1.00733, 13.6353
8,9438, 1.00668, 14.9632
9,9291, 1.00722, 13.8572
10,7113, 1.00917, 10.9061
11,5978, 1.00921, 10.8557
12,8105, 1.01025, 9.75361
13,6998, 1.01137, 8.79126
14,6188, 1.0113, 8.85059
15,6764, 1.01183, 8.4523
16,6879, 1.01219, 8.20657
17,4640, 1.01242, 8.052
18,6079, 1.01218, 8.20885
